column,type_bucket,domain,domain_covers,pct_missing,n_unique
BUREAU_HAS_OVERDUE,binary,repayment_behaviour,"How prior credit was repaid: arrears, days past due, overdue amounts, prolongations.",14.31,2
BUREAU_HAS_HISTORY,binary,credit_history,"What external credit exists: how many prior credits, how much, how long.",0.0,2
PREV_COUNT,numeric,other,Everything not otherwise classified.,5.35,65
PREV_APPROVED_COUNT,numeric,other,Everything not otherwise classified.,5.35,26
PREV_REFUSED_COUNT,numeric,other,Everything not otherwise classified.,5.35,46
PREV_CANCELLED_COUNT,numeric,other,Everything not otherwise classified.,5.35,38
PREV_AMT_APPLICATION_MEAN,numeric,other,Everything not otherwise classified.,5.35,191770
PREV_AMT_APPLICATION_MAX,numeric,other,Everything not otherwise classified.,5.35,48662
PREV_AMT_CREDIT_MEAN,numeric,other,Everything not otherwise classified.,5.35,210634
PREV_AMT_ANNUITY_MEAN,numeric,other,Everything not otherwise classified.,5.49,268978
PREV_DOWN_PAYMENT_RATE_MEAN,numeric,other,Everything not otherwise classified.,11.03,166782
PREV_DAYS_DECISION_MAX,numeric,other,Everything not otherwise classified.,5.35,2922
PREV_DAYS_DECISION_MIN,numeric,other,Everything not otherwise classified.,5.35,2921
PREV_CNT_PAYMENT_MEAN,numeric,other,Everything not otherwise classified.,5.49,2838
PREV_REFUSED_RATE,numeric,other,Everything not otherwise classified.,5.35,397
PREV_APPROVED_RATE,numeric,other,Everything not otherwise classified.,5.35,362
PREV_CREDIT_TO_APPLICATION,numeric,other,Everything not otherwise classified.,5.68,256135
PREV_EVER_REFUSED,binary,other,Everything not otherwise classified.,5.35,2
PREV_HAS_HISTORY,binary,other,Everything not otherwise classified.,0.0,2
INST_COUNT,numeric,other,Everything not otherwise classified.,5.16,319
INST_DPD_MEAN,numeric,repayment_behaviour,"How prior credit was repaid: arrears, days past due, overdue amounts, prolongations.",5.16,23566
INST_DPD_MAX,numeric,repayment_behaviour,"How prior credit was repaid: arrears, days past due, overdue amounts, prolongations.",5.16,1642
INST_DPD_SUM,numeric,repayment_behaviour,"How prior credit was repaid: arrears, days past due, overdue amounts, prolongations.",5.16,2077
INST_LATE_COUNT,numeric,other,Everything not otherwise classified.,5.16,102
INST_PAYMENT_RATIO_MEAN,numeric,other,Everything not otherwise classified.,5.16,135438
INST_PAYMENT_RATIO_MIN,numeric,other,Everything not otherwise classified.,5.16,117643
INST_UNDERPAID_COUNT,numeric,other,Everything not otherwise classified.,5.16,120
INST_SHORTFALL_SUM,numeric,other,Everything not otherwise classified.,5.16,112797
INST_AMT_PAYMENT_SUM,numeric,other,Everything not otherwise classified.,5.16,287570
INST_DAYS_LAST_INSTALMENT,numeric,other,Everything not otherwise classified.,5.16,2918
INST_LATE_RATE,numeric,other,Everything not otherwise classified.,5.16,4972
INST_UNDERPAID_RATE,numeric,other,Everything not otherwise classified.,5.16,5294
INST_EVER_LATE,binary,other,Everything not otherwise classified.,5.16,2
INST_HAS_HISTORY,binary,other,Everything not otherwise classified.,0.0,2
