column,dtype,n_missing,pct_missing,n_unique
LIVINGAREA_AVG,float64,154350,50.19,5199
HOUSETYPE_MODE,object,154297,50.18,3
FLOORSMAX_AVG,float64,153020,49.76,403
FLOORSMAX_MEDI,float64,153020,49.76,49
FLOORSMAX_MODE,float64,153020,49.76,25
YEARS_BEGINEXPLUATATION_AVG,float64,150007,48.78,285
YEARS_BEGINEXPLUATATION_MEDI,float64,150007,48.78,245
YEARS_BEGINEXPLUATATION_MODE,float64,150007,48.78,221
TOTALAREA_MODE,float64,148431,48.27,5116
EMERGENCYSTATE_MODE,object,145755,47.4,2
BUREAU_MAX_OVERDUE_MEAN,float64,123625,40.2,55318
OCCUPATION_TYPE,object,96391,31.35,18
EXT_SOURCE_3,float64,60965,19.83,814
BUREAU_DEBT_MEAN,float64,51380,16.71,169333
BUREAU_DEBT_CREDIT_RATIO,float64,45103,14.67,184778
BUREAU_CREDIT_SUM_MEAN,float64,44021,14.32,209604
BUREAU_CREDIT_SUM_MAX,float64,44021,14.32,65160
BUREAU_CREDIT_LIMIT_TOTAL,float64,44020,14.31,37290
BUREAU_DAYS_OVERDUE_MAX,float64,44020,14.31,868
BUREAU_DAYS_UPDATE_MEAN,float64,44020,14.31,55038
BUREAU_DAYS_CREDIT_MEAN,float64,44020,14.31,64556
BUREAU_DAYS_CREDIT_MAX,float64,44020,14.31,2923
BUREAU_DAYS_CREDIT_MIN,float64,44020,14.31,2922
BUREAU_PROLONG_TOTAL,float64,44020,14.31,10
BUREAU_ACTIVE_RATIO,float64,44020,14.31,296
BUREAU_AMT_OVERDUE_TOTAL,float64,44020,14.31,1218
BUREAU_OVERDUE_LOAN_COUNT,float64,44020,14.31,8
BUREAU_ANNUITY_TOTAL,float64,44020,14.31,36098
BUREAU_DAYS_OVERDUE_MEAN,float64,44020,14.31,1541
BUREAU_DEBT_TOTAL,float64,44020,14.31,155004
BUREAU_HAS_OVERDUE,float64,44020,14.31,2
BUREAU_CREDIT_SUM_TOTAL,float64,44020,14.31,205644
BUREAU_CREDIT_TYPE_NUNIQUE,float64,44020,14.31,6
BUREAU_CLOSED_COUNT,float64,44020,14.31,54
BUREAU_ACTIVE_COUNT,float64,44020,14.31,23
AMT_REQ_CREDIT_BUREAU_DAY,float64,41519,13.5,9
AMT_REQ_CREDIT_BUREAU_YEAR,float64,41519,13.5,25
AMT_REQ_CREDIT_BUREAU_HOUR,float64,41519,13.5,5
AMT_REQ_CREDIT_BUREAU_WEEK,float64,41519,13.5,9
AMT_REQ_CREDIT_BUREAU_MON,float64,41519,13.5,24
AMT_REQ_CREDIT_BUREAU_QRT,float64,41519,13.5,11
PREV_DOWN_PAYMENT_RATE_MEAN,float64,33906,11.03,166782
PREV_CREDIT_TO_APPLICATION,float64,17469,5.68,256135
PREV_CNT_PAYMENT_MEAN,float64,16869,5.49,2838
PREV_AMT_ANNUITY_MEAN,float64,16871,5.49,268978
PREV_DAYS_DECISION_MAX,float64,16454,5.35,2922
PREV_EVER_REFUSED,float64,16454,5.35,2
PREV_APPROVED_RATE,float64,16454,5.35,362
PREV_REFUSED_RATE,float64,16454,5.35,397
PREV_DAYS_DECISION_MIN,float64,16454,5.35,2921
PREV_REFUSED_COUNT,float64,16454,5.35,46
PREV_AMT_CREDIT_MEAN,float64,16454,5.35,210634
PREV_AMT_APPLICATION_MAX,float64,16454,5.35,48662
PREV_AMT_APPLICATION_MEAN,float64,16454,5.35,191770
PREV_CANCELLED_COUNT,float64,16454,5.35,38
PREV_COUNT,float64,16454,5.35,65
PREV_APPROVED_COUNT,float64,16454,5.35,26
INST_COUNT,float64,15868,5.16,319
INST_PAYMENT_RATIO_MIN,float64,15879,5.16,117643
INST_AMT_PAYMENT_SUM,float32,15868,5.16,287570
INST_DPD_MAX,float32,15876,5.16,1642
INST_DPD_SUM,float32,15868,5.16,2077
INST_UNDERPAID_COUNT,float64,15868,5.16,120
INST_SHORTFALL_SUM,float32,15868,5.16,112797
INST_DAYS_LAST_INSTALMENT,float32,15868,5.16,2918
INST_LATE_RATE,float64,15868,5.16,4972
INST_UNDERPAID_RATE,float64,15868,5.16,5294
INST_EVER_LATE,float64,15868,5.16,2
INST_DPD_MEAN,float32,15876,5.16,23566
INST_PAYMENT_RATIO_MEAN,float64,15879,5.16,135438
INST_LATE_COUNT,float64,15868,5.16,102
NAME_TYPE_SUITE,object,1292,0.42,7
OBS_30_CNT_SOCIAL_CIRCLE,float64,1021,0.33,33
DEF_30_CNT_SOCIAL_CIRCLE,float64,1021,0.33,10
OBS_60_CNT_SOCIAL_CIRCLE,float64,1021,0.33,33
DEF_60_CNT_SOCIAL_CIRCLE,float64,1021,0.33,9
EXT_SOURCE_2,float64,660,0.21,119831
AMT_GOODS_PRICE,float64,278,0.09,1002
BUREAU_LOAN_COUNT,float64,0,0.0,61
BUREAU_HAS_HISTORY,int64,0,0.0,2
PREV_HAS_HISTORY,int64,0,0.0,2
SK_ID_CURR,int64,0,0.0,307511
FLAG_DOCUMENT_21,int64,0,0.0,2
DAYS_BIRTH,int64,0,0.0,17460
REGION_RATING_CLIENT_W_CITY,int64,0,0.0,3
REGION_RATING_CLIENT,int64,0,0.0,3
CNT_FAM_MEMBERS,float64,2,0.0,17
FLAG_EMAIL,int64,0,0.0,2
FLAG_PHONE,int64,0,0.0,2
FLAG_CONT_MOBILE,int64,0,0.0,2
FLAG_WORK_PHONE,int64,0,0.0,2
FLAG_EMP_PHONE,int64,0,0.0,2
FLAG_MOBIL,int64,0,0.0,2
DAYS_ID_PUBLISH,int64,0,0.0,6168
DAYS_REGISTRATION,float64,0,0.0,15688
DAYS_EMPLOYED,int64,0,0.0,12574
REGION_POPULATION_RELATIVE,float64,0,0.0,81
FLAG_DOCUMENT_20,int64,0,0.0,2
NAME_HOUSING_TYPE,object,0,0.0,6
NAME_FAMILY_STATUS,object,0,0.0,6
NAME_EDUCATION_TYPE,object,0,0.0,5
NAME_INCOME_TYPE,object,0,0.0,8
AMT_ANNUITY,float64,12,0.0,13672
AMT_CREDIT,float64,0,0.0,5603
AMT_INCOME_TOTAL,float64,0,0.0,2548
CNT_CHILDREN,int64,0,0.0,15
FLAG_OWN_REALTY,object,0,0.0,2
FLAG_OWN_CAR,object,0,0.0,2
CODE_GENDER,object,0,0.0,3
NAME_CONTRACT_TYPE,object,0,0.0,2
WEEKDAY_APPR_PROCESS_START,object,0,0.0,7
HOUR_APPR_PROCESS_START,int64,0,0.0,24
REG_REGION_NOT_LIVE_REGION,int64,0,0.0,2
REG_REGION_NOT_WORK_REGION,int64,0,0.0,2
FLAG_DOCUMENT_19,int64,0,0.0,2
FLAG_DOCUMENT_18,int64,0,0.0,2
FLAG_DOCUMENT_17,int64,0,0.0,2
FLAG_DOCUMENT_16,int64,0,0.0,2
FLAG_DOCUMENT_15,int64,0,0.0,2
FLAG_DOCUMENT_14,int64,0,0.0,2
FLAG_DOCUMENT_13,int64,0,0.0,2
FLAG_DOCUMENT_12,int64,0,0.0,2
FLAG_DOCUMENT_11,int64,0,0.0,2
FLAG_DOCUMENT_10,int64,0,0.0,2
FLAG_DOCUMENT_9,int64,0,0.0,2
FLAG_DOCUMENT_8,int64,0,0.0,2
FLAG_DOCUMENT_7,int64,0,0.0,2
FLAG_DOCUMENT_6,int64,0,0.0,2
FLAG_DOCUMENT_5,int64,0,0.0,2
FLAG_DOCUMENT_4,int64,0,0.0,2
FLAG_DOCUMENT_3,int64,0,0.0,2
FLAG_DOCUMENT_2,int64,0,0.0,2
DAYS_LAST_PHONE_CHANGE,float64,1,0.0,3773
TARGET,int64,0,0.0,2
ORGANIZATION_TYPE,object,0,0.0,58
LIVE_CITY_NOT_WORK_CITY,int64,0,0.0,2
REG_CITY_NOT_WORK_CITY,int64,0,0.0,2
REG_CITY_NOT_LIVE_CITY,int64,0,0.0,2
LIVE_REGION_NOT_WORK_REGION,int64,0,0.0,2
INST_HAS_HISTORY,int64,0,0.0,2
