SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_STATUS,AMT_APPLICATION,AMT_CREDIT,AMT_ANNUITY,AMT_DOWN_PAYMENT,RATE_DOWN_PAYMENT,DAYS_DECISION,CNT_PAYMENT,NAME_YIELD_GROUP
1000041,100013,Refused,84000.0,0.0,0.0,0.0,0.1786,-1832,18.0,low_normal
1000042,100014,Refused,252000.0,0.0,0.0,0.0,0.1413,-2444,6.0,low_action
1000043,100014,Approved,388000.0,348000.0,18700.0,17800.0,0.0497,-1501,10.0,low_action
1000044,100015,Approved,2184000.0,2143000.0,66900.0,106200.0,0.1417,-2434,36.0,XNA
1000045,100015,Refused,81000.0,0.0,0.0,0.0,0.0652,-1725,48.0,high
1000046,100016,Approved,133000.0,112000.0,8500.0,20400.0,0.1502,-1962,48.0,low_action
1000047,100017,Approved,64000.0,67000.0,5900.0,3100.0,0.1363,-816,36.0,middle
1000048,100017,Canceled,34000.0,30000.0,1700.0,4700.0,0.1727,-1979,48.0,low_normal
1000049,100017,Approved,462000.0,462000.0,18300.0,2400.0,0.1679,-1907,24.0,low_normal
1000050,100018,Approved,93000.0,81000.0,3600.0,3600.0,0.1941,-2671,12.0,XNA
1000051,100018,Approved,94000.0,72000.0,3300.0,8600.0,0.0857,-2128,48.0,high
1000052,100018,Refused,601000.0,0.0,0.0,0.0,0.199,-1408,48.0,high
1000053,100018,Approved,15000.0,15000.0,1000.0,300.0,0.2103,-1024,12.0,XNA
1000054,100018,Approved,63000.0,48000.0,3200.0,2600.0,0.0941,-816,24.0,high
1000055,100019,Refused,318000.0,0.0,0.0,0.0,0.1129,-2511,36.0,high
1000056,100019,Approved,122000.0,120000.0,5600.0,800.0,0.2086,-2800,18.0,low_action
1000057,100019,Refused,63000.0,0.0,0.0,0.0,0.1775,-871,24.0,low_normal
1000058,100019,Refused,64000.0,0.0,0.0,0.0,0.1001,-466,18.0,XNA
1000059,100020,Refused,311000.0,0.0,0.0,0.0,0.243,-970,36.0,low_normal
1000060,100020,Canceled,114000.0,86000.0,4800.0,13200.0,0.0471,-2681,10.0,low_action
1000061,100020,Refused,32000.0,0.0,0.0,0.0,0.169,-2442,10.0,low_action
1000062,100020,Approved,321000.0,274000.0,12400.0,54200.0,0.1524,-2418,24.0,middle
1000063,100021,Approved,30000.0,28000.0,1600.0,3300.0,0.0128,-608,10.0,high
1000064,100021,Refused,125000.0,0.0,0.0,0.0,0.1495,-1281,12.0,low_normal
1000065,100021,Refused,556000.0,0.0,0.0,0.0,0.1647,-1238,12.0,high
1000066,100021,Refused,66000.0,0.0,0.0,0.0,0.1574,-614,12.0,XNA
1000067,100022,Approved,73000.0,74000.0,2400.0,13800.0,0.2059,-515,6.0,XNA
1000068,100022,Approved,226000.0,195000.0,17900.0,2300.0,0.1205,-2255,6.0,low_normal
1000069,100022,Refused,21000.0,0.0,0.0,0.0,0.0122,-786,36.0,middle
1000070,100023,Refused,47000.0,0.0,0.0,0.0,0.0174,-1566,36.0,XNA
1000071,100023,Approved,255000.0,216000.0,15500.0,42000.0,0.2136,-2014,10.0,low_action
1000072,100023,Refused,122000.0,0.0,0.0,0.0,0.1802,-183,12.0,XNA
1000073,100023,Refused,106000.0,0.0,0.0,0.0,0.141,-1841,6.0,low_action
1000074,100024,Refused,504000.0,0.0,0.0,0.0,0.101,-1690,10.0,XNA
1000075,100024,Refused,192000.0,0.0,0.0,0.0,0.1293,-734,12.0,XNA
1000076,100024,Approved,103000.0,100000.0,8500.0,4300.0,0.1178,-41,10.0,middle
1000077,100024,Refused,35000.0,0.0,0.0,0.0,0.1144,-2886,6.0,middle
1000078,100025,Refused,675000.0,0.0,0.0,0.0,0.0021,-115,48.0,low_action
1000079,100025,Refused,91000.0,0.0,0.0,0.0,0.1667,-2666,12.0,XNA
1000080,100026,Refused,110000.0,0.0,0.0,0.0,0.1216,-1744,36.0,low_action
1000081,100026,Approved,143000.0,145000.0,6300.0,28200.0,0.1247,-1526,12.0,high
1000082,100026,Refused,21000.0,0.0,0.0,0.0,0.2367,-1274,12.0,high
1000083,100026,Refused,15000.0,0.0,0.0,0.0,0.1987,-772,10.0,low_action
1000084,100026,Approved,102000.0,105000.0,2700.0,5700.0,0.1432,-2383,24.0,high
1000085,100026,Approved,211000.0,210000.0,5800.0,5400.0,0.1572,-1516,36.0,middle
1000086,100026,Refused,144000.0,0.0,0.0,0.0,0.1144,-881,10.0,XNA
1000087,100026,Refused,104000.0,0.0,0.0,0.0,0.1766,-2870,6.0,XNA
1000088,100027,Refused,42000.0,0.0,0.0,0.0,0.2331,-2869,36.0,low_normal
1000089,100027,Canceled,169000.0,165000.0,11300.0,32300.0,0.1832,-1971,18.0,XNA
1000090,100027,Refused,451000.0,0.0,0.0,0.0,0.1363,-1261,10.0,middle
1000091,100027,Approved,92000.0,76000.0,7300.0,9300.0,0.095,-412,48.0,low_action
1000092,100027,Refused,16000.0,0.0,0.0,0.0,0.0638,-1040,6.0,XNA
1000093,100028,Approved,126000.0,125000.0,3500.0,14300.0,0.0261,-1122,10.0,XNA
1000094,100028,Refused,344000.0,0.0,0.0,0.0,0.1566,-520,12.0,middle
1000095,100028,Refused,63000.0,0.0,0.0,0.0,0.0767,-1960,36.0,low_action
1000096,100028,Refused,26000.0,0.0,0.0,0.0,0.0619,-2763,12.0,XNA
1000097,100028,Refused,142000.0,0.0,0.0,0.0,0.1314,-2589,6.0,low_normal
1000098,100028,Refused,109000.0,0.0,0.0,0.0,0.1779,-2051,48.0,low_normal
1000099,100028,Refused,90000.0,0.0,0.0,0.0,0.0789,-1759,24.0,XNA
1000100,100028,Approved,141000.0,131000.0,5100.0,5300.0,0.1119,-2168,10.0,high
1000101,100029,Refused,276000.0,0.0,0.0,0.0,0.1543,-2235,24.0,low_action
1000102,100030,Refused,386000.0,0.0,0.0,0.0,0.2409,-2430,24.0,low_normal
1000103,100030,Refused,161000.0,0.0,0.0,0.0,0.1646,-2071,24.0,low_normal
1000104,100031,Approved,271000.0,259000.0,15500.0,31700.0,0.1999,-2092,24.0,middle
1000105,100031,Refused,54000.0,0.0,0.0,0.0,0.0573,-347,18.0,XNA
1000106,100032,Approved,129000.0,120000.0,4400.0,12300.0,0.1297,-684,18.0,high
1000107,100032,Approved,65000.0,61000.0,1800.0,4800.0,0.0266,-1815,10.0,XNA
1000108,100032,Canceled,251000.0,226000.0,5900.0,19800.0,0.231,-1424,48.0,XNA
1000109,100033,Approved,73000.0,65000.0,3700.0,1200.0,0.041,-1304,6.0,XNA
1000110,100033,Refused,15000.0,0.0,0.0,0.0,0.165,-118,36.0,XNA
1000111,100034,Refused,143000.0,0.0,0.0,0.0,0.0531,-1328,24.0,high
1000112,100034,Approved,38000.0,31000.0,1300.0,4200.0,0.1311,-2390,6.0,high
1000113,100034,Approved,417000.0,313000.0,10300.0,55300.0,0.1031,-218,48.0,XNA
1000114,100035,Refused,347000.0,0.0,0.0,0.0,0.0391,-799,18.0,high
1000115,100035,Approved,19000.0,17000.0,700.0,100.0,0.1081,-2648,48.0,low_normal
1000116,100035,Refused,221000.0,0.0,0.0,0.0,0.0524,-1139,18.0,low_action
1000117,100035,Approved,1011000.0,1034000.0,41700.0,174500.0,0.1016,-2650,12.0,high
1000118,100035,Refused,287000.0,0.0,0.0,0.0,0.0993,-1244,24.0,low_action
1000119,100035,Approved,1043000.0,988000.0,46400.0,9200.0,0.1502,-576,36.0,low_normal
1000120,100036,Refused,49000.0,0.0,0.0,0.0,0.2313,-2547,24.0,middle
1000121,100036,Approved,28000.0,27000.0,700.0,2400.0,0.1061,-117,10.0,high
1000122,100036,Refused,5000.0,0.0,0.0,0.0,0.2434,-1948,48.0,low_normal
1000123,100036,Canceled,209000.0,205000.0,8500.0,25900.0,0.0149,-1558,10.0,middle
1000124,100037,Refused,137000.0,0.0,0.0,0.0,0.2294,-1614,6.0,middle
1000125,100037,Approved,106000.0,88000.0,2900.0,12300.0,0.0822,-1982,36.0,XNA
1000126,100037,Approved,278000.0,238000.0,17300.0,11500.0,0.0117,-2430,18.0,low_normal
1000127,100038,Approved,281000.0,255000.0,6800.0,28700.0,0.0653,-1052,12.0,high
1000128,100038,Approved,165000.0,168000.0,15000.0,27800.0,0.1729,-1151,10.0,XNA
1000129,100039,Refused,265000.0,0.0,0.0,0.0,0.0809,-1110,24.0,low_normal
1000130,100039,Canceled,52000.0,47000.0,1800.0,300.0,0.0295,-402,36.0,low_normal
1000131,100039,Canceled,255000.0,217000.0,5600.0,37000.0,0.0106,-1035,12.0,XNA
1000132,100040,Approved,77000.0,79000.0,3600.0,7100.0,0.1228,-315,6.0,high
1000133,100041,Refused,136000.0,0.0,0.0,0.0,0.0166,-2367,10.0,middle
1000134,100041,Approved,234000.0,195000.0,14000.0,35600.0,0.2216,-1368,24.0,XNA
1000135,100041,Approved,14000.0,11000.0,500.0,2100.0,0.0036,-1086,36.0,low_normal
1000136,100041,Refused,16000.0,0.0,0.0,0.0,0.0688,-1632,10.0,high
1000137,100042,Canceled,199000.0,154000.0,7000.0,17200.0,0.0446,-259,24.0,low_normal
1000138,100042,Canceled,515000.0,401000.0,12200.0,65900.0,0.0334,-1142,12.0,XNA
1000139,100043,Refused,43000.0,0.0,0.0,0.0,0.0295,-841,48.0,middle
1000140,100045,Approved,54000.0,49000.0,2400.0,5100.0,0.178,-2166,36.0,high
1000141,100045,Refused,155000.0,0.0,0.0,0.0,0.2085,-421,48.0,low_action
1000142,100045,Canceled,484000.0,384000.0,30500.0,2900.0,0.1162,-1574,36.0,low_action
1000143,100046,Refused,715000.0,0.0,0.0,0.0,0.2497,-997,36.0,low_action
1000144,100046,Canceled,37000.0,38000.0,3000.0,5100.0,0.2311,-847,24.0,XNA
1000145,100046,Refused,71000.0,0.0,0.0,0.0,0.1928,-1939,18.0,middle
1000146,100047,Canceled,502000.0,387000.0,28800.0,63600.0,0.0269,-2822,24.0,low_normal
1000147,100047,Approved,419000.0,372000.0,9300.0,35500.0,0.1546,-2866,24.0,low_normal
1000148,100047,Approved,25000.0,19000.0,800.0,1000.0,0.1187,-628,18.0,XNA
1000149,100047,Refused,59000.0,0.0,0.0,0.0,0.0968,-662,18.0,low_action
1000150,100047,Refused,118000.0,0.0,0.0,0.0,0.166,-2511,36.0,middle
1000151,100047,Approved,507000.0,451000.0,27700.0,69100.0,0.1848,-571,24.0,low_normal
1000152,100047,Refused,142000.0,0.0,0.0,0.0,0.1616,-117,10.0,middle
1000153,100048,Approved,25000.0,22000.0,1500.0,4300.0,0.1073,-32,10.0,low_action
1000154,100048,Refused,97000.0,0.0,0.0,0.0,0.1638,-489,18.0,low_normal
1000155,100048,Canceled,58000.0,48000.0,1300.0,400.0,0.0185,-1451,18.0,low_normal
1000156,100048,Approved,146000.0,131000.0,7700.0,400.0,0.2381,-1585,48.0,high
1000157,100049,Refused,83000.0,0.0,0.0,0.0,0.0549,-2099,18.0,high
1000158,100049,Refused,189000.0,0.0,0.0,0.0,0.1005,-2762,18.0,low_normal
1000159,100049,Refused,180000.0,0.0,0.0,0.0,0.1725,-718,18.0,low_normal
1000160,100049,Canceled,29000.0,22000.0,1100.0,2700.0,0.081,-2324,36.0,low_normal
1000161,100049,Canceled,220000.0,190000.0,6300.0,30100.0,0.1986,-292,36.0,middle
1000162,100050,Refused,26000.0,0.0,0.0,0.0,0.1722,-1864,24.0,high
1000163,100051,Approved,163000.0,166000.0,9600.0,20300.0,0.1716,-766,18.0,middle
1000164,100051,Approved,313000.0,326000.0,13200.0,9900.0,0.2268,-2020,10.0,XNA
1000165,100052,Refused,226000.0,0.0,0.0,0.0,0.1899,-188,10.0,middle
1000166,100052,Approved,70000.0,67000.0,3200.0,13200.0,0.1426,-1034,24.0,low_action
1000167,100052,Approved,58000.0,53000.0,5100.0,1000.0,0.0834,-1107,6.0,low_action
1000168,100052,Refused,205000.0,0.0,0.0,0.0,0.0828,-2380,18.0,XNA
1000169,100054,Refused,333000.0,0.0,0.0,0.0,0.0641,-2663,12.0,XNA
1000170,100054,Refused,39000.0,0.0,0.0,0.0,0.1552,-2234,36.0,low_action
1000171,100055,Approved,103000.0,83000.0,2300.0,2900.0,0.2213,-2107,24.0,high
1000172,100055,Approved,36000.0,33000.0,800.0,1600.0,0.2133,-596,10.0,XNA
1000173,100055,Approved,7000.0,6000.0,200.0,600.0,0.0368,-1562,12.0,middle
1000174,100055,Refused,336000.0,0.0,0.0,0.0,0.0387,-2635,18.0,middle
1000175,100055,Refused,66000.0,0.0,0.0,0.0,0.2435,-1836,24.0,middle
1000176,100056,Approved,63000.0,49000.0,1700.0,8600.0,0.0236,-625,24.0,XNA
1000177,100056,Approved,281000.0,224000.0,12900.0,13800.0,0.0237,-69,36.0,high
1000178,100057,Approved,367000.0,305000.0,8900.0,27100.0,0.0624,-2542,12.0,high
1000179,100057,Canceled,253000.0,251000.0,6700.0,3600.0,0.0374,-383,48.0,low_normal
1000180,100057,Approved,70000.0,63000.0,4900.0,6100.0,0.0857,-2598,10.0,XNA
1000181,100057,Approved,124000.0,95000.0,2600.0,9200.0,0.0237,-1891,6.0,low_normal
1000182,100057,Approved,71000.0,72000.0,4800.0,4700.0,0.0019,-242,6.0,low_action
1000183,100057,Refused,84000.0,0.0,0.0,0.0,0.2069,-2331,18.0,middle
1000184,100058,Approved,159000.0,138000.0,5900.0,23500.0,0.2253,-1826,6.0,middle
1000185,100058,Approved,24000.0,22000.0,600.0,4300.0,0.1812,-1313,6.0,middle
1000186,100058,Approved,293000.0,290000.0,11200.0,34700.0,0.09,-1432,18.0,low_normal
1000187,100058,Refused,158000.0,0.0,0.0,0.0,0.0561,-733,6.0,high
1000188,100059,Canceled,90000.0,74000.0,2200.0,7900.0,0.0547,-2785,48.0,XNA
1000189,100059,Approved,79000.0,74000.0,2900.0,2000.0,0.1007,-1203,18.0,high
1000190,100059,Canceled,48000.0,47000.0,1600.0,7500.0,0.0949,-1488,36.0,low_normal
1000191,100059,Approved,142000.0,108000.0,6500.0,1200.0,0.2145,-2549,6.0,low_action
1000192,100059,Refused,26000.0,0.0,0.0,0.0,0.051,-282,24.0,middle
1000193,100059,Refused,65000.0,0.0,0.0,0.0,0.0719,-1478,24.0,XNA
1000194,100059,Approved,166000.0,135000.0,7600.0,25600.0,0.0464,-2101,6.0,low_normal
1000195,100060,Approved,367000.0,329000.0,11600.0,19100.0,0.2213,-2486,36.0,low_normal
1000196,100060,Canceled,158000.0,153000.0,4200.0,5700.0,0.0405,-1549,10.0,middle
1000197,100060,Approved,71000.0,63000.0,1800.0,4300.0,0.0092,-164,24.0,high
1000198,100060,Approved,101000.0,88000.0,3900.0,12500.0,0.061,-680,36.0,low_action
1000199,100061,Refused,39000.0,0.0,0.0,0.0,0.0029,-1594,36.0,low_action
1000200,100061,Refused,257000.0,0.0,0.0,0.0,0.2455,-23,12.0,low_action
1000201,100061,Canceled,550000.0,424000.0,13900.0,3600.0,0.1457,-792,24.0,low_action
1000202,100061,Refused,164000.0,0.0,0.0,0.0,0.1879,-1663,18.0,high
1000203,100061,Approved,96000.0,88000.0,3900.0,6100.0,0.1233,-1428,36.0,XNA
1000204,100061,Approved,36000.0,33000.0,1100.0,800.0,0.0225,-2439,12.0,XNA
1000205,100062,Approved,227000.0,203000.0,16900.0,19500.0,0.1193,-1455,6.0,high
1000206,100062,Canceled,656000.0,543000.0,38600.0,74900.0,0.1848,-919,48.0,middle
1000207,100063,Refused,243000.0,0.0,0.0,0.0,0.0281,-2083,24.0,low_action
1000208,100064,Canceled,239000.0,236000.0,12600.0,40300.0,0.0905,-215,10.0,low_normal
1000209,100065,Canceled,327000.0,305000.0,10200.0,44000.0,0.176,-1328,12.0,low_normal
1000210,100065,Canceled,298000.0,237000.0,8400.0,41600.0,0.0831,-1143,24.0,low_normal
1000211,100065,Approved,49000.0,47000.0,2700.0,3400.0,0.1495,-2763,18.0,XNA
1000212,100066,Approved,302000.0,299000.0,25400.0,56800.0,0.2199,-720,12.0,XNA
1000213,100066,Refused,114000.0,0.0,0.0,0.0,0.2485,-2527,6.0,low_normal
1000214,100066,Approved,633000.0,610000.0,18500.0,52100.0,0.2229,-834,6.0,high
1000215,100066,Refused,699000.0,0.0,0.0,0.0,0.1427,-614,48.0,middle
1000216,100067,Refused,79000.0,0.0,0.0,0.0,0.003,-1495,12.0,low_normal
1000217,100067,Refused,56000.0,0.0,0.0,0.0,0.0844,-2355,36.0,low_action
1000218,100067,Refused,839000.0,0.0,0.0,0.0,0.2353,-1757,18.0,XNA
1000219,100068,Canceled,115000.0,104000.0,3600.0,600.0,0.2392,-1990,36.0,XNA
1000220,100068,Canceled,175000.0,132000.0,5300.0,7800.0,0.1459,-2631,10.0,XNA
1000221,100068,Approved,142000.0,135000.0,7200.0,23600.0,0.0592,-974,18.0,low_normal
1000222,100069,Refused,158000.0,0.0,0.0,0.0,0.1348,-1482,48.0,middle
1000223,100070,Refused,137000.0,0.0,0.0,0.0,0.2451,-662,12.0,XNA
1000224,100070,Approved,45000.0,35000.0,2100.0,500.0,0.2118,-5,6.0,high
1000225,100070,Approved,111000.0,112000.0,2900.0,19300.0,0.0475,-550,18.0,low_normal
1000226,100070,Approved,107000.0,106000.0,5100.0,6300.0,0.2391,-892,48.0,high
1000227,100070,Refused,292000.0,0.0,0.0,0.0,0.1359,-2574,48.0,high
1000228,100070,Approved,140000.0,146000.0,4900.0,27200.0,0.0339,-2045,12.0,high
1000229,100071,Refused,128000.0,0.0,0.0,0.0,0.1471,-722,48.0,high
1000230,100071,Approved,21000.0,22000.0,900.0,100.0,0.1739,-367,10.0,low_normal
1000231,100071,Refused,212000.0,0.0,0.0,0.0,0.0349,-584,6.0,low_normal
1000232,100073,Approved,169000.0,167000.0,6900.0,25500.0,0.0014,-2481,36.0,XNA
1000233,100073,Approved,56000.0,48000.0,1200.0,9400.0,0.0178,-995,6.0,XNA
1000234,100074,Refused,74000.0,0.0,0.0,0.0,0.0855,-2734,18.0,high
1000235,100074,Refused,734000.0,0.0,0.0,0.0,0.033,-1107,18.0,low_action
1000236,100074,Refused,68000.0,0.0,0.0,0.0,0.1246,-1121,36.0,XNA
1000237,100075,Approved,8000.0,7000.0,200.0,500.0,0.249,-2808,48.0,XNA
1000238,100075,Canceled,9000.0,7000.0,200.0,200.0,0.1313,-289,48.0,low_action
1000239,100076,Refused,256000.0,0.0,0.0,0.0,0.2221,-2186,24.0,middle
1000240,100076,Refused,338000.0,0.0,0.0,0.0,0.1017,-1984,12.0,high
1000241,100076,Approved,75000.0,58000.0,2100.0,0.0,0.0581,-671,24.0,low_normal
1000242,100077,Approved,364000.0,317000.0,14300.0,6800.0,0.1853,-1988,18.0,XNA
1000243,100077,Approved,234000.0,178000.0,4900.0,23200.0,0.2499,-772,24.0,XNA
1000244,100077,Refused,44000.0,0.0,0.0,0.0,0.0322,-1934,6.0,low_action
1000245,100078,Canceled,52000.0,43000.0,1300.0,200.0,0.1657,-22,18.0,low_action
1000246,100078,Refused,207000.0,0.0,0.0,0.0,0.049,-596,18.0,low_normal
1000247,100079,Approved,189000.0,161000.0,4200.0,19800.0,0.0102,-1795,48.0,low_normal
1000248,100079,Approved,49000.0,41000.0,2500.0,400.0,0.1688,-34,12.0,XNA
1000249,100080,Refused,567000.0,0.0,0.0,0.0,0.1412,-430,10.0,middle
1000250,100080,Refused,55000.0,0.0,0.0,0.0,0.204,-892,18.0,low_action
1000251,100080,Approved,293000.0,226000.0,15300.0,43600.0,0.0145,-1442,10.0,low_normal
1000252,100081,Approved,91000.0,79000.0,2700.0,10400.0,0.0533,-1040,10.0,middle
1000253,100081,Approved,110000.0,105000.0,5800.0,1000.0,0.0688,-1159,24.0,high
1000254,100081,Refused,66000.0,0.0,0.0,0.0,0.245,-1640,24.0,high
1000255,100081,Approved,197000.0,201000.0,13100.0,31000.0,0.0847,-1003,36.0,XNA
1000256,100081,Approved,67000.0,57000.0,1600.0,1600.0,0.2026,-2296,6.0,low_action
1000257,100082,Approved,766000.0,607000.0,27500.0,91100.0,0.1633,-2030,36.0,high
1000258,100082,Approved,73000.0,62000.0,3100.0,10900.0,0.2035,-2325,48.0,middle
1000259,100082,Refused,118000.0,0.0,0.0,0.0,0.2496,-972,12.0,high
1000260,100082,Approved,670000.0,531000.0,14300.0,46900.0,0.1753,-1310,6.0,low_normal
1000261,100082,Approved,189000.0,172000.0,9400.0,28900.0,0.0123,-1736,18.0,high
1000262,100082,Approved,309000.0,309000.0,13500.0,35900.0,0.0585,-1599,48.0,low_action
1000263,100083,Refused,151000.0,0.0,0.0,0.0,0.2164,-980,6.0,high
1000264,100083,Approved,392000.0,351000.0,11300.0,13200.0,0.1653,-1130,36.0,middle
1000265,100083,Approved,41000.0,43000.0,1200.0,900.0,0.1422,-1207,36.0,low_action
1000266,100083,Approved,181000.0,141000.0,5100.0,22100.0,0.1935,-1458,36.0,middle
1000267,100084,Refused,77000.0,0.0,0.0,0.0,0.1954,-614,12.0,high
1000268,100084,Approved,63000.0,65000.0,2600.0,13000.0,0.023,-901,12.0,high
1000269,100084,Refused,54000.0,0.0,0.0,0.0,0.1156,-425,6.0,middle
1000270,100084,Refused,226000.0,0.0,0.0,0.0,0.1311,-1816,10.0,low_normal
1000271,100085,Approved,662000.0,680000.0,50000.0,92200.0,0.0666,-418,48.0,low_normal
1000272,100085,Approved,243000.0,255000.0,20000.0,16700.0,0.0127,-2676,18.0,low_action
1000273,100085,Refused,131000.0,0.0,0.0,0.0,0.1082,-602,10.0,XNA
1000274,100085,Approved,89000.0,85000.0,2700.0,15300.0,0.0312,-2272,36.0,low_action
1000275,100086,Refused,440000.0,0.0,0.0,0.0,0.1071,-225,18.0,XNA
1000276,100086,Refused,1433000.0,0.0,0.0,0.0,0.2399,-2287,6.0,XNA
1000277,100086,Refused,392000.0,0.0,0.0,0.0,0.1371,-1861,12.0,low_normal
1000278,100086,Approved,187000.0,144000.0,4200.0,8600.0,0.0255,-1036,18.0,low_normal
1000279,100088,Refused,547000.0,0.0,0.0,0.0,0.0644,-2762,12.0,low_action
1000280,100089,Approved,45000.0,40000.0,3500.0,6900.0,0.2277,-749,18.0,low_normal
1000281,100089,Approved,96000.0,90000.0,7200.0,10100.0,0.0729,-672,12.0,XNA
1000282,100089,Canceled,249000.0,235000.0,16700.0,14800.0,0.0014,-1129,6.0,high
1000283,100089,Approved,103000.0,89000.0,8600.0,16100.0,0.0451,-2036,48.0,middle
1000284,100090,Refused,374000.0,0.0,0.0,0.0,0.0169,-1392,48.0,high
1000285,100090,Refused,103000.0,0.0,0.0,0.0,0.1925,-1649,10.0,middle
1000286,100090,Refused,33000.0,0.0,0.0,0.0,0.1161,-634,36.0,middle
1000287,100090,Refused,123000.0,0.0,0.0,0.0,0.1169,-302,10.0,low_normal
1000288,100091,Approved,158000.0,134000.0,4900.0,1400.0,0.1085,-1009,10.0,low_action
1000289,100091,Refused,106000.0,0.0,0.0,0.0,0.1896,-1421,48.0,low_normal
1000290,100091,Approved,22000.0,17000.0,500.0,1500.0,0.174,-2805,24.0,low_action
1000291,100091,Approved,97000.0,79000.0,2000.0,900.0,0.0215,-307,10.0,XNA
1000292,100092,Approved,70000.0,59000.0,4200.0,10800.0,0.2447,-712,10.0,high
1000293,100092,Canceled,15000.0,15000.0,500.0,2600.0,0.1622,-1820,10.0,low_action
1000294,100092,Refused,237000.0,0.0,0.0,0.0,0.1189,-2049,6.0,XNA
1000295,100092,Refused,121000.0,0.0,0.0,0.0,0.0746,-1877,48.0,XNA
1000296,100093,Refused,324000.0,0.0,0.0,0.0,0.0102,-348,6.0,XNA
1000297,100093,Refused,341000.0,0.0,0.0,0.0,0.2103,-593,10.0,high
