SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_GOODS_PRICE,AMT_ANNUITY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,APARTMENTS_MODE,APARTMENTS_MEDI,BASEMENTAREA_AVG,BASEMENTAREA_MODE,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_MODE,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_AVG,YEARS_BUILD_MODE,YEARS_BUILD_MEDI,COMMONAREA_AVG,COMMONAREA_MODE,COMMONAREA_MEDI,ELEVATORS_AVG,ELEVATORS_MODE,ELEVATORS_MEDI,ENTRANCES_AVG,ENTRANCES_MODE,ENTRANCES_MEDI,FLOORSMAX_AVG,FLOORSMAX_MODE,FLOORSMAX_MEDI,FLOORSMIN_AVG,FLOORSMIN_MODE,FLOORSMIN_MEDI,LANDAREA_AVG,LANDAREA_MODE,LANDAREA_MEDI,LIVINGAPARTMENTS_AVG,LIVINGAPARTMENTS_MODE,LIVINGAPARTMENTS_MEDI,LIVINGAREA_AVG,LIVINGAREA_MODE,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_MODE,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_AVG,NONLIVINGAREA_MODE,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100011,0,Cash loans,F,N,Y,0,225000.0,1602000.0,1345500.0,48500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,With parents,0.0725,-24299,365243,-275.0,-5299,,1,0,1,1,0,0,Private service staff,2.0,2,2,FRIDAY,12,0,0,1,0,0,1,Business Entity Type 3,0.30954,0.459649,0.351241,0.7297,0.7781,0.7432,0.6699,0.6035,0.636,0.3836,0.4224,0.4237,0.8107,0.7947,0.7982,0.8623,0.8123,0.8249,0.7247,0.7927,0.7643,0.3636,0.3646,0.3545,0.6121,0.6002,0.6123,0.6806,0.6624,0.6801,0.828,0.8021,0.8324,0.6232,0.5996,0.6423,0.7459,0.7385,0.7655,0.7351,0.7697,0.7483,0.8245,0.8151,0.8066,,,0.4476,"Stone, brick",,2.0,0.0,2.0,0.0,-1380.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,3.0
100012,0,Revolving loans,F,N,N,1,229500.0,481500.0,432000.0,15500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.013441,-19391,-1326,-10586.0,-900,,1,1,1,1,0,0,,3.0,3,3,FRIDAY,16,0,0,0,0,0,0,Business Entity Type 2,,0.627075,,0.3902,0.3822,0.3847,0.5204,0.4998,0.5248,0.5411,0.5268,0.4936,0.505,0.4743,0.4374,0.3579,0.3526,0.3444,0.4002,0.41,0.3811,0.428,0.4133,0.4671,0.2713,0.301,0.3178,0.2472,0.2457,0.2977,0.2256,0.2589,0.2428,0.312,0.326,0.3742,0.2312,0.2497,0.2677,0.3144,0.3266,0.3139,0.4553,0.4259,0.4616,reg oper account,,0.3952,,No,1.0,0.0,1.0,0.0,-315.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
100013,0,Cash loans,M,N,Y,0,130500.0,576000.0,558000.0,16000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.025231,-15559,-6959,-1213.0,-2345,,1,1,0,1,1,0,,2.0,3,3,FRIDAY,15,0,0,0,0,0,0,XNA,,0.583748,0.627315,0.1608,0.1563,0.1834,0.1257,0.0995,0.1166,0.0902,0.0788,0.0919,0.1894,0.2054,0.1848,0.0774,0.0974,0.08,0.2299,0.2029,0.214,0.0839,0.1434,0.1076,0.0947,0.1763,0.1129,0.1748,0.1317,0.1413,0.2186,0.1949,0.2251,0.1489,0.211,0.1356,0.1969,0.1775,0.1969,0.1673,0.1712,0.1675,0.09,0.1353,0.1435,,block of flats,,Panel,,0.0,0.0,0.0,0.0,-1522.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
100014,0,Cash loans,F,Y,Y,0,121500.0,387000.0,324000.0,10500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Rented apartment,0.007374,-8596,-2022,-1848.0,-5717,,1,1,1,1,0,0,,1.0,2,2,WEDNESDAY,10,0,0,0,0,1,1,Business Entity Type 3,,0.514971,,0.2454,0.2546,0.2853,0.3283,0.3081,0.3318,0.4088,0.3984,0.4343,0.3271,0.3111,0.3004,0.3319,0.3627,0.3493,0.3749,0.3748,0.3079,0.3322,0.3088,0.3462,0.3747,0.3441,0.3898,0.4094,0.4186,0.4235,0.3582,0.3811,0.3931,0.3724,0.3571,0.3317,0.3309,0.3284,0.3017,0.3353,0.361,0.337,0.2617,0.2181,0.2142,,,0.4022,Block,,3.0,1.0,3.0,0.0,-2772.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,
100015,0,Cash loans,M,N,N,1,274500.0,1012500.0,895500.0,55000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.020305,-13011,-5614,-89.0,-5291,,1,1,0,1,0,0,Laborers,3.0,3,3,FRIDAY,13,0,0,0,0,1,0,Business Entity Type 3,,0.48095,0.21346,0.4515,0.4265,0.4265,0.3324,0.3685,0.3583,0.636,0.6137,0.6068,0.552,0.5792,0.5698,0.423,0.4168,0.425,0.6212,0.6129,0.6102,0.3163,0.3335,0.3154,0.6194,0.6038,0.6271,0.3386,0.3475,0.3509,0.4088,0.4314,0.4244,0.4005,0.3694,0.3754,0.5674,0.5718,0.5201,0.6294,0.6366,0.6345,0.4122,0.4211,0.379,,,0.305,Panel,No,2.0,1.0,2.0,0.0,-2176.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,5.0
100016,0,Cash loans,F,Y,Y,0,369000.0,2313000.0,2178000.0,79000.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.015651,-13793,-281,-3959.0,-4857,13.0,1,1,1,1,1,0,Sales staff,1.0,3,3,WEDNESDAY,11,0,0,0,0,0,1,Government,,0.574455,,0.5832,0.6008,0.586,0.6627,0.701,0.6352,0.6431,0.6737,0.6834,0.4271,0.4267,0.4107,0.6307,0.6249,0.6004,0.6119,0.5928,0.5814,0.339,0.3219,0.3021,0.42,0.4164,0.4039,0.561,0.5077,0.5527,0.6738,0.6592,0.6677,0.6637,0.6537,0.6221,0.7491,0.7352,0.7085,0.5903,0.6129,0.6002,0.3462,0.3519,0.3331,reg oper account,,,"Stone, brick",No,3.0,0.0,3.0,0.0,-638.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,1.0
100017,0,Cash loans,M,N,Y,0,99000.0,661500.0,607500.0,16500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02843,-10126,-2537,-2010.0,-5332,,1,1,0,1,0,0,Laborers,1.0,2,2,TUESDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.419666,0.333014,0.253,0.2522,0.2489,0.2558,0.2609,0.2164,0.3383,0.3153,0.3308,0.2357,0.2405,0.2525,0.2321,0.2267,0.2043,0.1752,0.196,0.1702,0.3372,0.3267,0.3618,0.1746,0.144,0.1621,0.1966,0.1813,0.1819,0.3285,0.3208,0.3823,0.1806,0.1687,0.1772,0.199,0.168,0.1883,0.2945,0.263,0.3014,0.2595,0.2224,0.2411,reg oper account,,0.1798,,No,3.0,0.0,3.0,0.0,-1324.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100018,0,Cash loans,F,N,N,1,126000.0,1062000.0,990000.0,61500.0,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,0.028893,-12984,-6410,-476.0,-1422,,1,1,0,1,0,0,Laborers,3.0,3,3,THURSDAY,15,0,0,0,0,0,0,XNA,0.401491,0.656099,0.384597,0.4349,0.4047,0.3963,0.3301,0.331,0.3448,0.5833,0.5757,0.5575,0.5548,0.5561,0.6054,0.4366,0.4268,0.4076,0.3954,0.359,0.3837,0.4274,0.4365,0.368,0.5383,0.4991,0.5047,0.3133,0.2983,0.2928,0.5489,0.5414,0.5624,0.2885,0.2756,0.2469,0.4904,0.526,0.4922,0.3906,0.4073,0.3797,0.4827,0.4787,0.4744,,block of flats,0.6258,"Stone, brick",,2.0,0.0,2.0,0.0,-3821.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,1.0
100019,0,Cash loans,F,N,Y,0,180000.0,886500.0,828000.0,36500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.045018,-22295,365243,-8887.0,-349,,1,0,0,1,0,0,,2.0,3,3,TUESDAY,13,0,0,0,1,0,0,Medicine,,0.879287,0.257286,0.2381,0.2575,0.2592,0.2757,0.2536,0.248,0.3901,0.3918,0.3572,0.3302,0.3143,0.3606,0.2596,0.2876,0.2804,0.2912,0.3078,0.2941,0.3658,0.3724,0.3811,0.2071,0.2377,0.2392,0.1927,0.1944,0.2034,0.4051,0.3727,0.3657,0.2524,0.248,0.2468,0.4162,0.3849,0.3559,0.324,0.3078,0.334,0.2754,0.2409,0.2478,reg oper account,block of flats,,,,2.0,0.0,2.0,0.0,-959.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,1.0
100020,0,Cash loans,F,Y,Y,0,193500.0,711000.0,630000.0,19000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.042855,-14704,-4646,-2158.0,-5143,,1,1,0,1,0,0,,2.0,2,2,TUESDAY,17,0,0,0,0,0,0,Security,0.211945,0.29303,,0.6853,0.6949,0.6741,0.3718,0.3899,0.3603,0.5165,0.4737,0.4859,0.4116,0.4161,0.42,0.6913,0.6438,0.6697,0.619,0.5712,0.5815,0.5683,0.5829,0.5889,0.563,0.5737,0.5767,0.7669,0.7599,0.6942,0.382,0.393,0.4274,0.3989,0.4004,0.4025,0.7667,0.7082,0.7178,0.7111,0.7343,0.71,0.6252,0.6437,0.6067,org spec account,block of flats,,Panel,,2.0,0.0,2.0,0.0,-694.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100021,1,Cash loans,M,N,Y,0,112500.0,382500.0,337500.0,29000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.017947,-17603,-1867,-2866.0,-2950,,1,1,0,1,0,0,Drivers,2.0,2,1,TUESDAY,13,0,0,0,0,0,0,Business Entity Type 3,0.560262,0.360994,0.192937,0.212,0.2365,0.236,0.1248,0.1417,0.0927,0.2141,0.199,0.2351,0.1929,0.202,0.1917,0.1874,0.2378,0.1993,0.2222,0.1949,0.214,0.2266,0.227,0.2314,0.17,0.2078,0.2162,0.1191,0.1763,0.1274,0.1911,0.209,0.1632,0.0988,0.1444,0.1129,0.1999,0.1858,0.1944,0.2272,0.1961,0.2314,0.1355,0.1275,0.1428,reg oper account,,0.1866,,No,1.0,0.0,1.0,0.0,-218.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
100022,0,Cash loans,F,N,Y,0,414000.0,621000.0,571500.0,16500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.010412,-14491,-2001,-6596.0,-1513,,1,1,1,1,1,0,Laborers,2.0,2,2,THURSDAY,15,0,0,0,0,0,1,Business Entity Type 3,0.024144,0.187301,,0.3383,0.3148,0.3139,0.4317,0.4465,0.4215,0.6525,0.6251,0.6448,0.6261,0.6301,0.6711,0.3574,0.3356,0.3547,0.5023,0.4684,0.4672,0.6343,0.5967,0.6202,0.341,0.3308,0.3588,0.5494,0.5168,0.5306,0.5895,0.5851,0.5598,0.4957,0.466,0.4703,0.4634,0.4898,0.4316,0.4335,0.423,0.4432,0.6555,0.6423,0.6587,,block of flats,,,No,4.0,0.0,4.0,0.0,-2662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,1.0,4.0
